species_orig,species,lifestage,movement_type,location_habitat,parameter,movement_area_km2,linear_dist_orig,linear_dist_km,linear_dist_calc,Source
Chaetodon ornatissimus,Chaetodon ornatissimus,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 4,0.000108,<0.012 Circle ,0.012,Circle,Hourigan (1987)
Chaetodon quadrimaculatus,Chaetodon quadrimaculatus,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 24,0.000558,<0.027 Circle ,0.027,Circle,Hourigan (1987)
Chaetodon rainfordi,Chaetodon rainfordi,,home range,"One Tree Reef, Great Barrier Reef (lagoon channel, patch reefs) TMR",Maximum 144,0.0007,0.030 Circle,0.03,Circle,Fowler (1988)
Chelmon rostratus,Chelmon rostratus,,home range,"One Tree Reef, Great Barrier Reef (lagoon channel, patch reefs) TMR",Maximum 47,0.00046,0.024 Circle,0.024,Circle,Fowler (1988)
Chaetodon trifasciatus,Chaetodon trifasciatus,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 3,0.001207,<0.012 Circle ,0.012,Circle,Hourigan (1987)
Chaetodon unimaculatus,Chaetodon unimaculatus,,home range,"Hawai'i Island, Hawai'i (leeward reefs) UO",Maximum 4,0.001653,<0.046 Circle ,0.046,Circle,Hourigan (1987)
Cephalopholis cruentata,Cephalopholis cruentata,,home range,"St. Lucia, West Indies (fringing coral reef, sand and seagrass) AAT",Range (GSA)10,0.0026,0.04-0.1,0.07,,Popple & Hunte (2005)
Cephalopholis cruentata,Cephalopholis cruentata,,home range,"St. Lucia, West Indies (fringing coral reef, sand and seagrass) AAT",Mean (SD) (GSA) 10,0.0021,0.064 (0.021),0.064,,Popple & Hunte (2005)
Cephalopholis cyanostigma,Cephalopholis cyanostigma,,home range,"Lizard Island, Great Barrier Reef (reef slopes and backreef) TMR",Maximum 84,NA,<0.05,0.05,,Zeller et al. (2003)
Epinephelus fulvus,Epinephelus fulvus,,home range (day/night),"St. John, U.S. Virgin Islands (coral reef) AAT",Maximum 1,NA,~0.1,0.1,,Beets et al. (2003)
Epinehpelus guttatus,Epinehpelus guttatus,,home range (day/night),"St. John, U.S. Virgin Islands (coral reef) AAT",Range 5,NA,<0.1-~0.2,0.15,,Beets et al. (2003)
Epinephelus guttatus,Epinephelus guttatus,,home range,"Puerto Rico, Caribbean (patch reefs) TMR",Range 22,2.85,0.378-2.7 Circle,1.539,Circle,Shapiro et al. (1994)
Epinephelus guttatus,Epinephelus guttatus,,home range,"Puerto Rico, Caribbean (patch reefs) TMR",Median 22,0.86,1.046 Circle,1.046,Circle,Shapiro et al. (1994)
Epinephelus maculatus,Epinephelus maculatus,,home range (intra%hyphen%reef),New Caledonia (lagoon patch reefs and soft bottom) PAT,Most (57%) 7,NA,"0.6-2 MFF, MPM",1.3,"MFF, MPM",Chateau & Wantiez (2008b)
Epinephelus maculatus,Epinephelus maculatus,,home range (intra%hyphen% and inter%hyphen%reef),New Caledonia (lagoon patch reefs and soft bottom) PAT,Maximum 7,NA,At least 4,4,,Chateau & Wantiez (2008b)
Epinephelus maculatus,Epinephelus maculatus,,"inter%hyphen%reef (excursions, home range relocations)",New Caledonia (lagoon patch reefs and soft bottom) PAT,Some (43%) 7,NA,6-Jan,3.5,,Chateau & Wantiez (2008b)
Epinephelus multinotatus,Epinephelus multinotatus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Range (KUD95) 2,1.3,,1.286550197,,Pillans et al. (2011)
Epinephelus multinotatus,Epinephelus multinotatus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Mean (SD) (KUD95) 2,1.3,,1.286550197,,Pillans et al. (2011)
Epinephelus multinotatus,Epinephelus multinotatus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Range (KUD95) 3,NA,1.4-3.5 MFF,2.45,MFF,Pillans et al. (2011)
