stockid,B0_scalar,r,sigmaP,biomass_max,p,B0,bmsy,fmsy,msy
SOLECS,1.394253183,0.614780269,0.049176605,4500,0.2,6274.139322,2521.435877,0.51231689,1291.774188
SOLEIIIa-2224,2.393903509,0.181757677,0.074556493,6200,0.2,14842.20175,5964.748004,0.151464731,903.4489508
SOLEIS,1.631975027,0.276431161,0.103988441,2340,0.2,3818.821562,1534.698737,0.230359301,353.5321287
SOLENS,1.637538883,0.267358631,0.076032,151000,0.2,247268.3713,99371.6127,0.222798859,22139.88191
SOLEVIId,1.025085162,0.674978977,0.092018616,29400,0.2,30137.50377,12111.58684,0.562482481,6812.555413
SOLEVIIe,4.252118146,0.148485075,0.055925262,6390,0.2,27171.03495,10919.42956,0.123737563,1351.143601
SOLEVIIIab,4.090186164,0.222912324,0.055719229,20500,0.2,83848.81636,33696.95874,0.18576027,6259.556141
SOLMEDGSA17,1.86694975,1.195084333,0.153358284,2403.442901,0.2,4487.107122,1803.267715,0.995903611,1795.880829
SOUTHHAKECH,0.955385955,0.087784878,0.033667268,940000,0.2,898062.7974,360911.2965,0.073154065,26402.12853
SOUTHHAKECR,1.242558914,0.03447128,0.023147134,68745.72585,0.2,85420.61443,34328.62913,0.028726066,986.126481
SOUTHHAKESA,0.973713093,0.034041405,0.032570698,106340.1403,0.2,103544.787,41612.32759,0.028367837,1180.451747
SOUTHHAKEWCSI,0.962499515,0.212752968,0.030096835,97357.25998,0.2,93706.31549,37658.46655,0.17729414,6676.625446
SPANMACKGM,0.942640163,0.086001692,0.020932723,53700,0.2,50619.77677,20342.95298,0.071668077,1457.940314
SPANMACKSATLC,1.318725642,0.24937553,0.019583382,21800,0.2,28748.21901,11553.26445,0.207812942,2400.917874
SPANMACKSETO,1.483594369,0.242345376,0.029528658,16300,0.2,24182.58822,9718.439838,0.20195448,1962.682467
SPHAKECH,1.514559004,0.098774322,0.054343477,1240000,0.2,1878053.164,754747.4458,0.082311935,62124.72275
SPRAT22-32,1.183015433,0.204357014,0.116426417,3270000,0.2,3868460.465,1554647.499,0.170297511,264752.6002
SPRATNS,0.758861132,0.343118774,0.124672971,2329763.02,0.2,1767966.601,710506.1252,0.285932312,203156.6588
SPRBLKGSA29,0.712163772,0.452581807,0.147134283,3467593.087,0.2,2469494.172,992434.3218,0.377151506,374298.0988
SPSDOGPCOAST,1.704621774,0.004043439,0.005507281,306000,0.2,521614.263,209625.0735,0.003369532,706.3384805
SPURDNEATL,1.085068319,0.029769658,0.002837549,1650000,0.2,1790362.727,719506.6257,0.024808048,17849.55522
SRAKEROCKBSAI,1.000392972,0.380526244,0.025881303,23100,0.2,23109.07766,9287.020022,0.317105204,2944.962374
SRAKEROCKGA,1.541116301,0.105974429,0.022405871,55500,0.2,85531.95471,34373.37429,0.088312024,3035.582248
SSANDWSJ,0.808832268,1.690265678,0.285495752,37600,0.2,30412.09327,12221.9382,1.408554731,17215.26888
SSARDCH,1.064479559,0.362911642,0.057874816,221000,0.2,235249.9825,94541.69179,0.302426368,28591.90048
SSHRIMPSMAGTSE,0.509094355,0.683483477,0.230709405,313,0.2,159.346533,64.0377978,0.569569564,36.47398059
SSHRIMPSMAPRD,0.839035039,0.594534878,0.120929096,1220,0.2,1023.622747,411.3710244,0.495445732,203.8120182
SSLOBSTERSASC,1.370831812,0.231068966,0.046299346,3550,0.2,4866.452932,1955.718289,0.192557472,376.588169
SSSHRIMPSMA14,0.661367647,0.895889167,0.292945193,235,0.2,155.4213971,62.46037371,0.746574306,46.63131015
SSSHRIMPSMA16,0.637070518,1.057638343,0.295287266,93.1,0.2,59.31126521,23.83586726,0.881365286,21.00810596
SSSHRIMPSMA18-19,0.825056763,0.899886646,0.201863977,49.6,0.2,40.92281547,16.44596172,0.749905538,12.33291777
SSSHRIMPSMAFR,1.155828675,0.269734631,0.216515751,496,0.2,573.291023,230.3928044,0.224778859,51.78743174
SSTHORNHGA,0.944302147,0.10371505,0.045926059,104000,0.2,98207.42331,39467.36083,0.086429208,3411.132756
STFLOUNNPCOAST,0.532957002,0.142387233,0.130463011,26700,0.2,14229.95197,5718.698546,0.118656027,678.5580512
STFLOUNSPCOAST,0.635524236,0.198382428,0.117292473,9120,0.2,5795.981034,2329.274785,0.16531869,385.0726558
STMARLINIO,1.049342767,0.176015689,0.005584599,56600,0.2,59392.80062,23868.63451,0.146679741,3501.045119
STMARLINNEPAC,1.798736306,0.349255038,0.094029254,9260,0.2,16656.29819,6693.792676,0.291045865,1948.200681
STMARLINSWPO,1.125905151,0.188630494,0.01816931,29100,0.2,32763.8399,13167.05243,0.157192078,2069.756339
STMARLINWCNPAC,1.464796112,0.434274475,0.094118217,28400,0.2,41600.20958,16718.19122,0.361895396,6050.236425
STRIPEDBASSGOMCHATT,0.986343515,0.26390873,0.043690755,114657.0739,0.2,113091.2613,45448.84149,0.219923942,9995.288361
STRMULLIIIa-IV-VIId,0.900827758,0.961436211,0.195605099,9298.606233,0.2,8376.442605,3366.304416,0.801196842,2697.072468
SURFMATLC,1.185300033,0.016676046,0.049501741,2500000,0.2,2963250.083,1190863.749,0.013896705,16549.0827
SWHITSE,1.013779175,0.389359561,0.02501598,13700,0.2,13888.7747,5581.587054,0.324466301,1811.036906
SWORDEPAC,1.648510783,0.096428302,0.053729027,67100,0.2,110615.0735,44453.71718,0.080356918,3572.163722
SWORDIO,0.947567639,0.981426396,0.075109441,86914.77588,0.2,82357.62894,33097.68396,0.81785533,27069.11724
SWORDMED,0.776411008,0.260990321,0.044996377,188000,0.2,145965.2696,58660.16813,0.217491934,12758.11343
SWORDNATL,1.129625124,0.302575286,0.005552184,121000,0.2,136684.64,54930.49124,0.252146072,13850.5076
SWORDNPAC,1.435794752,0.223300601,0.041715257,121000,0.2,173731.165,69818.65878,0.186083835,12992.12375
SWORDSATL,1.037308747,0.365612104,0.00666728,115000,0.2,119290.5059,47940.17887,0.304676753,14606.25805
TANNERCRABBSAI,1.684452464,0.026835775,0.058946755,765000,0.2,1288606.135,517861.9047,0.022363146,11581.0212
TARAKNZ,1.001584798,0.132553481,0.021193686,12817.89794,0.2,12838.21173,5159.389359,0.110461234,569.9125156
TASGIANTCRABTAS,1.981984094,0.048444918,0.039669505,2000,0.2,3963.968187,1593.029911,0.040370765,64.31183634
TIGERFLATSE,1.029839066,0.150706836,0.018411145,48300,0.2,49741.22687,19989.88348,0.12558903,2510.510078
TILEGM,0.90049666,0.152442575,0.012277129,3050,0.2,2746.514812,1103.762704,0.127035479,140.2170235
TILEMATLC,0.674936634,0.219579429,0.061739904,38661.1547,0.2,26093.82963,10486.52489,0.182982858,1918.854293
TILESATLC,0.964876282,0.117789427,0.017625156,8310,0.2,8018.121905,3222.303363,0.098157856,316.2943897
TREVALLYTRE7,1.050449857,0.168548563,0.012444021,23089.3028,0.2,24254.15482,9747.200852,0.140457136,1369.063915
TURBLKGSA29,2.604310003,0.065110874,0.047805499,46865.7309,0.2,122052.8918,49050.31979,0.054259061,2661.424307
VSNAPGM,0.891683931,0.139146986,0.009404145,31900,0.2,28444.7174,11431.29397,0.115955822,1325.525086
